DR10_train_00,2014-11-26-23-24-34-486389
DR10_train_19,2014-12-14-11-42-09-254700,2014-12-13-12-05-56-484680,2014-12-14-02-26-37-320984,2014-12-14-17-33-21-853333,2014-12-15-05-07-55-601440
DR10_train_20,2014-12-14-18-52-52-045349,2014-12-20-11-57-34-060669
DR10_train_21,2014-12-14-01-35-38-594391,2014-12-15-07-34-33-506714,2014-12-15-05-26-34-391144,2014-12-20-15-44-16-345581
DR10_train_22,2014-12-15-03-28-33-675415,2014-12-20-15-53-04-135376
DR10_train_23,2014-12-14-04-36-32-590075,2014-12-15-01-18-21-505508,2014-12-15-10-40-37-281616,2014-12-20-18-48-02-139038
DR10_train_24,2014-12-15-08-59-03-381298,2014-12-21-02-40-40-567932
DR10_train_25,2014-12-20-23-59-56-594543
DR10_train_26,2014-12-26-17-57-39-077881,2014-12-21-00-07-31-590088,2014-12-20-04-47-55-218292
DR10_train_27,2014-12-27-13-58-00-537598
DR10_train_28,2014-12-28-05-30-09-760620,2014-12-27-10-59-18-320557,2014-12-28-15-14-19-985107,2014-12-28-13-44-56-558960
DR10_train_29,2014-12-27-23-48-30-217529,2014-12-28-12-44-41-440796
DR10_train_30,2014-12-28-18-48-49-096191,2014-12-27-21-44-08-452332,2014-12-28-00-10-37-350708,2014-12-28-14-57-05-507324
DR10_train_31,2014-12-27-00-32-04-568909,2014-12-28-02-00-33-123108,2014-12-28-21-17-53-415222,2014-12-27-14-42-54-916931,2014-12-29-04-12-16-737732
DR10_train_32,2014-12-27-07-41-27-598450,2014-12-28-14-53-36-846985,2014-12-27-14-54-06-449951,2015-01-01-11-36-04-928345
DR10_train_33,2014-12-28-03-03-06-458374,2014-12-27-12-59-35-832062,2014-12-27-03-54-44-585663,2014-12-27-18-26-14-074097,2014-12-28-18-10-52-336731,2015-01-02-06-11-05-408569,2015-01-02-12-53-03-465576,2015-01-01-13-34-26-118042
DR10_train_34,2014-12-28-03-14-25-523132,2014-12-27-19-03-39-457977,2014-12-28-02-08-46-536987,2014-12-29-05-05-28-961731,2015-01-02-09-04-03-055054,2015-01-01-16-17-54-063843,2015-01-02-20-42-46-291992
DR10_train_35,2014-12-28-08-54-15-598877,2014-12-27-12-19-41-103516,2014-12-28-16-48-03-429504,2014-12-28-05-00-18-302826,2014-12-29-04-28-46-082153,2015-01-02-10-36-01-374634,2015-01-02-14-11-51-294800,2015-01-01-16-37-02-657166
DR10_train_36,2015-01-05-02-37-47-780151,2015-01-05-18-22-21-775879,2015-01-02-14-02-31-802856,2015-01-02-14-00-21-918030,2015-01-05-12-50-01-197510,2015-01-02-18-47-01-470886,2015-01-01-21-46-35-136169
DR10_train_37,2015-01-05-19-10-23-384521,2015-01-05-08-22-05-797485,2015-01-05-17-39-15-869751,2015-01-02-04-28-26-304871
DR10_train_38,2014-12-29-14-39-53-625336,2014-12-29-14-39-16-314987,2015-01-02-18-51-36-724731,2015-01-02-23-41-33-420837,2015-01-02-00-52-50-735901
DR10_train_39,2015-01-05-15-07-58-700562,2015-01-02-19-08-30-914185,2015-01-05-10-00-07-074768,2015-01-02-04-48-52-421844
DR10_train_40,2015-01-05-15-22-12-765259,2015-01-03-14-54-09-522369,2015-01-09-20-22-27-992432,2015-01-06-07-56-14-717773,2015-01-02-20-41-57-637543,2015-01-05-09-23-59-406067,2015-01-03-05-04-54-318970
DR10_train_41,2015-01-10-13-33-40-510132,2015-01-10-07-34-45-914673,2015-01-05-19-02-12-893005,2015-01-02-23-56-20-198578,2015-01-02-08-21-26-532700,2015-01-03-09-12-46-793884,2015-01-01-16-03-54-631889
DR10_train_42,2015-01-05-19-27-31-934875,2015-01-10-11-16-04-485474,2015-01-06-07-22-43-674805,2015-01-11-02-20-28-626221,2015-01-11-02-20-51-823975,2015-01-11-15-15-04-422363,2015-01-06-03-32-30-730408,2015-01-06-14-27-43-881104,2015-01-05-13-31-06-900909,2015-01-02-06-01-02-543217,2015-01-03-05-08-51-763489
DR10_train_43,2015-01-06-08-33-48-600159,2015-01-11-16-55-32-941895,2015-01-10-15-32-04-226196,2015-01-11-04-13-01-698975,2015-01-06-05-11-21-638611,2015-01-05-15-10-35-072388,2015-01-04-06-29-29-813232
DR10_test_00,2015-01-10-14-18-33-229248,2015-01-11-16-27-09-680176,2015-01-12-06-17-45-836670,2015-01-06-07-31-58-280823,2015-01-04-14-30-35-589432
DR10_test_01,2015-01-12-04-41-51-403564,2015-01-10-23-04-59-459900,2015-01-11-09-38-05-367676,2015-01-11-09-39-51-037964,2015-01-11-19-04-44-575745,2015-01-12-04-19-15-314087,2015-01-05-19-21-02-337173
DR10_test_02,2015-01-12-05-42-11-499146,2015-01-12-06-58-05-828308,2015-01-06-04-56-13-234770,2015-01-12-12-25-30-371704,2015-01-12-04-55-47-919312,2015-01-06-17-49-24-902573
DR10_test_03,2015-01-12-08-12-40-700867,2015-01-11-23-45-18-356201,2015-01-11-01-56-13-811829,2015-01-11-14-57-57-787292,2015-01-12-04-34-03-802063,2015-01-12-13-43-47-769470,2015-01-07-01-04-35-719249
DR10_test_04,2015-01-12-10-46-46-967285,2015-01-11-04-09-29-094177,2015-01-12-01-53-04-991150,2015-01-12-12-07-13-568787
DR10_test_05,2015-01-12-04-18-46-649933,2015-01-17-01-55-33-843018,2015-01-17-01-50-16-832153
DR10_test_06,2015-01-12-18-05-00-215607,2015-01-12-11-15-47-144226,2015-01-17-03-37-39-898560,2015-01-19-07-14-51-983521,2015-01-18-22-47-11-223755,2015-01-19-08-05-40-454590
DR10_test_07,2015-01-20-21-01-39-853027,2015-01-17-05-33-10-193115,2015-01-17-05-33-28-118652,2015-01-19-08-52-24-787598,2015-01-19-02-04-32-512939
DR10_test_08,2015-01-21-02-32-52-159424,2015-01-17-08-09-50-558899,2015-01-17-08-04-52-038452,2015-01-20-23-21-55-782959,2015-01-19-10-26-56-001465,2015-01-18-16-53-30-708252,2015-01-19-03-30-27-576782,2015-01-21-01-11-53-359741
DR10_test_09,2015-01-17-10-09-44-200684,2015-01-19-12-54-23-537659,2015-01-22-14-56-54-203247,2015-01-21-07-57-17-977905
DR10_test_10,2015-01-22-18-45-43-699219,2015-01-21-04-54-25-142273,2015-01-17-12-30-43-023865,2015-01-17-12-29-53-615662,2015-01-19-13-43-00-168884,2015-01-22-19-04-14-178711,2015-01-21-13-28-36-234375
DR10_test_11,2015-01-24-21-51-34-622803,2015-01-17-14-20-46-478638,2015-01-24-04-30-30-000732,2015-01-24-04-29-17-168823,2015-01-24-17-21-37-092407,2015-01-21-06-45-57-998779,2015-01-21-10-04-28-877991
DR10_test_12,2015-01-25-06-20-40-080200,2015-01-17-16-34-16-673828,2015-01-17-16-31-19-084854,2015-01-19-21-38-07-955383,2015-01-25-05-59-51-845215,2015-01-24-19-57-04-588623,2015-01-22-20-20-50-654419,2015-01-21-14-41-53-721558
DR10_test_13,2015-01-26-10-20-52-739258,2015-01-17-18-48-14-571693,2015-01-17-18-44-12-751114,2015-01-24-19-10-25-609619,2015-01-24-19-14-51-856567,2015-01-25-06-41-50-725342,2015-01-26-09-55-24-323608
DR10_test_14,2015-01-26-12-14-14-241089,2015-01-25-10-24-23-333130,2015-01-27-13-03-41-328491,2015-01-18-01-06-33-252908,2015-01-25-09-27-09-914917,2015-01-21-19-30-03-322815,2015-01-26-20-43-58-295410,2015-01-21-19-29-42-798828
DR10_test_15,2015-01-25-13-48-36-457764,2015-01-27-09-32-26-658936,2015-01-25-10-10-30-250793,2015-01-25-10-09-54-475037,2015-01-27-23-14-45-268799,2015-01-26-16-58-26-965942
DR10_test_16,2015-01-28-00-45-43-786377,2015-01-29-17-13-49-597412,2015-01-27-19-47-12-408936,2015-01-28-22-17-07-221802,2015-01-29-14-25-29-762329,2015-01-28-09-31-24-296143,2015-01-21-23-51-58-790771,2015-01-21-23-52-13-477661,2015-01-28-02-17-44-023315,2015-01-26-20-39-57-399231
DR10_test_17,2015-01-25-14-44-23-982971,2015-01-25-19-12-18-595398,2015-01-27-23-38-14-614136,2015-01-28-00-17-49-258240,2015-01-28-15-37-21-764282,2015-01-28-02-07-20-963501,2015-01-22-02-02-11-814468,2015-01-22-02-02-29-278687,2015-01-28-12-08-44-316528,2015-01-27-08-59-25-479309,2015-01-26-15-51-06-835022
DR10_test_18,2015-01-25-18-31-42-796814,2015-01-28-17-48-50-208923,2015-01-28-01-50-20-943420,2015-01-27-21-11-19-583862,2015-01-22-04-19-57-423849,2015-01-28-10-14-09-273743,2015-01-27-01-05-30-534424,2015-01-28-10-18-34-466248,2015-01-27-19-45-32-732849,2015-01-26-17-25-26-675964
DR10_test_19,2015-01-25-19-32-11-742188,2015-01-25-19-24-25-414612,2015-01-27-19-54-27-037598,2015-01-27-19-54-55-959473,2015-01-28-03-07-26-036499,2015-01-28-11-27-17-230042,2015-01-27-10-52-40-092834
DR10_test_20,2015-01-25-21-08-20-755676,2015-01-27-22-41-29-035400,2015-01-28-05-29-38-520081,2015-01-28-14-13-05-567444,2015-01-27-12-10-09-513428
DR10_test_21,2015-01-25-23-38-10-801773,2015-01-25-23-28-35-810043,2015-01-29-00-20-42-158997,2015-01-29-00-40-23-323853,2015-01-29-03-21-56-972290,2015-01-28-01-35-43-750397,2015-01-28-17-07-57-809326,2015-01-28-05-23-22-294159,2015-01-27-12-31-30-326416
DR10_test_22,2015-02-04-04-56-32-233887,2015-02-04-13-50-11-310303,2015-02-04-17-03-50-748901,2015-01-28-13-44-27-904510,2015-02-04-10-23-52-371216,2015-01-28-15-19-47-487732,2015-02-04-01-21-15-679321,2015-01-27-17-29-21-271072
DR10_test_23,2015-01-28-02-57-21-928711,2015-01-28-21-59-00-301636,2015-01-28-13-50-35-767258,2015-02-05-14-27-32-454346,2015-01-28-15-34-40-934006,2015-02-04-21-19-39-568604,2015-02-05-06-02-50-347412,2015-01-27-17-47-30-589615
DR10_test_24,2015-02-04-17-18-21-424316,2015-01-28-10-55-04-599819,2015-02-04-18-09-20-590454,2015-01-29-07-03-34-425980,2015-01-28-15-26-15-510529,2015-01-28-07-18-36-533752,2015-02-05-06-55-31-684814,2015-02-05-16-11-30-958740,2015-02-05-15-54-48-107788,2015-02-05-10-31-02-173096,2015-01-28-21-22-02-721046,2015-01-28-13-59-34-063828,2015-02-05-04-07-28-193604,2015-01-28-07-14-33-202118,2015-02-04-09-19-37-709351,2015-02-04-21-13-49-233032
DR10_test_25,2015-02-04-19-18-59-917603,2015-02-04-17-09-25-920959,2015-02-05-14-44-28-341675,2015-02-05-13-50-50-331177,2015-02-05-03-01-16-108704,2015-02-05-04-47-59-253662
DR10_test_26,2015-02-05-03-40-06-657715,2015-02-05-02-53-48-011169,2015-02-05-20-11-07-584900,2015-02-05-21-05-19-827148,2015-02-05-09-57-48-264832
DR10_test_27,2015-02-05-04-59-42-573853,2015-02-05-02-06-10-472900,2015-02-05-20-40-01-770874,2015-02-05-17-24-26-004578,2015-02-05-10-27-34-984680
DR10_test_28,2015-02-05-04-28-39-450989,2015-02-05-11-52-22-451172,2015-02-05-22-33-06-928833,2015-02-05-10-41-49-651917,2015-02-04-23-50-57-551270,2015-02-04-15-06-02-307251
DR10_test_29,2015-02-05-01-23-45-448517,2015-02-05-13-47-36-477173,2015-02-06-00-21-34-994141,2015-02-05-02-56-30-499298,2015-02-04-16-10-38-594910
DR10_test_30,2015-02-05-13-21-40-668060,2015-02-05-13-45-15-410950,2015-02-05-00-22-23-749786
DR10_test_31,2015-02-05-02-16-10-737137
DR10_test_32,2015-02-05-15-55-33-352341,2015-02-05-04-10-55-402304
DR10_test_33,2015-02-06-03-19-30-825964
DR10_test_34
DR10_test_35,2015-02-17-12-02-00-232300,2015-02-17-18-43-35-844727
DR10_test_36,2015-02-17-13-40-06-401978,2015-02-17-22-25-32-300171,2015-02-17-17-12-38-915283
DR10_test_37,2015-02-18-01-55-48-002686,2015-02-18-09-12-38-301270
DR10_test_38,2015-02-17-23-20-25-822815,2015-02-17-23-00-38-143005
DR10_test_39,2015-02-18-00-12-39-179810
DR10_test_40,2015-02-18-05-02-12-455444,2015-02-18-15-04-30-865479,2015-02-18-03-59-29-636658
DR10_test_41,2015-02-18-03-29-16-034973,2015-02-18-10-39-53-173584,2015-02-18-16-36-45-491272
DR10_test_42,2015-02-24-05-32-23-373657,2015-02-18-08-40-46-009094,2015-02-18-06-30-50-452850,2015-02-24-14-32-59-482422,2015-02-24-08-09-27-837769,2015-02-24-08-26-58-515259,2015-02-18-19-40-19-117737,2015-02-24-14-27-55-501465
DR10_test_43,2015-02-24-05-43-23-420776,2015-02-18-16-06-16-735199,2015-02-24-16-56-46-376343,2015-02-18-09-09-25-150421,2015-02-24-16-41-14-097778
DR10_test_44,2015-02-24-10-46-13-930908,2015-02-24-10-43-07-821655,2015-02-18-09-01-48-146606,2015-02-18-15-04-42-279587,2015-02-24-21-09-06-792847,2015-02-18-08-14-09-701294,2015-02-24-13-07-58-995728,2015-02-18-20-31-10-852753,2015-02-24-20-05-33-323120
